-15.36, -5.266, 0.025
-15.137, -9.047, -0.013
-12.157, -14.172, -0.058
-10.648, -16.102, -0.026
-10.56, -13.212, -0.054
-8.248, -15.407, -0.042
-6.629, -14.702, -0.029
-8.399, -12.913, -0.045
-15.501, -11.765, -0.031
-13.704, -7.985, -0.029
-12.514, -9.296, -0.017
-9.239, -8.54, -0.033
-10.072, -6.707, -0.027
-11.934, -7.282, -0.008
-12.239, -4.324, 0.012
-13.565, -6.196, -0.003
-2.76, -15.245, -0.036
-2.279, -16.986, -0.02
0.54, -14.194, -0.037
-2.317, -13.558, -0.046
1.782, -12.72, -0.061
-0.713, -12.225, -0.041
-3.388, -11.963, -0.047
-5.505, -13.32, -0.031
-6.744, -11.712, -0.039
-8.008, -10.463, -0.027
-9.83, -10.377, -0.025
-11.688, -11.752, -0.019
-13.927, -10.758, -0.02
-6.444, -16.867, -0.031
-4.93, -15.7, -0.023
-2.9, -18.73, -0.003
-5.551, -6.829, -0.046
-7.284, -6.028, -0.027
-7.213, -8.436, -0.02
-9.782, -4.872, -0.013
-6.977, -4.293, -0.034
-5.014, -4.743, -0.029
-5.506, -2.949, -0.052
-4.16, -0.553, -0.041
-5.456, -9.115, -0.043
-4.901, -10.805, -0.046
-1.865, -10.661, -0.049
-2.503, -8.925, -0.041
-1.457, -7.464, -0.055
-1.03, -5.633, -0.032
-3.833, -7.358, -0.051
-2.926, -4.517, -0.02
6.253, -17.984, -0.029
6.802, -16.314, -0.046
3.432, -16.012, -0.03
5.103, -15.032, -0.037
5.081, -12.199, -0.042
3.472, -11.608, -0.05
3.503, -14.189, -0.04
1.386, -15.799, -0.039
-5.717, 0.461, -0.046
-7.226, -1.787, -0.061
-8.564, -3.034, -0.032
-10.459, -0.662, -0.022
-10.229, -2.399, 0.034
1.082, -17.547, -0.029
-0.792, -19.062, -0.003
3.418, -17.721, -0.038
1.993, -5.82, -0.011
0.375, -4.624, -0.016
0.349, -7.538, -0.052
7.314, -12.395, -0.016
7.561, -14.527, -0.003
9.221, -15.078, -0.005
10.52, -13.906, 0.037
12.478, -13.611, 0.035
0.569, -9.588, -0.057
1.794, -10.867, -0.058
2.092, -8.015, -0.05
4.322, -9.594, -0.031
6.152, -7.648, -0.022
3.834, -6.587, -0.013
4.483, -4.886, 0.018
1.974, -2.763, -0.003
10.038, -6.189, 0.024
8.067, -3.15, 0.039
10.435, -2.825, 0.034
9.928, -1.043, 0.054
8.194, -1.366, 0.038
6.024, -2.255, 0.034
3.606, -0.9, 0.025
3.817, -3.087, 0.022
9.875, -11.524, 0.01
9.355, -9.796, 0.021
7.693, -8.775, 0.008
